Source,Scenario,Year,Method,Extent,Scale,Scope,Field,Description,Phase,Status,TableType,FileType,Store,Path
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,EMP_Max_30_Min_FF,"Free Flow Decayed Access to Jobs, 30 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,EMP_Max_60_Min_FF,"Free Flow Decayed Access to Jobs, 60 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,EMP_Unconstrained_CG,"Congested Decayed Access to Jobs, Unconstrained",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,EMP_Max_15_Min_CG,"Congested Decayed Access to Jobs, 15 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,EMP_Max_30_Min_CG,"Congested Decayed Access to Jobs, 30 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,EMP_Max_60_Min_CG     ,"Congested Decayed Access to Jobs, 60 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,DU_Unconstrained_FF,"Free Flow Decayed Access to Dwelling Units, Unconstrained",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,DU_Max_15_Min_FF,"Free Flow Decayed Access to Dwelling Units, 15 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,DU_Max_30_Min_FF,"Free Flow Decayed Access to Dwelling Units, 30 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,DU_Max_60_Min_FF,"Free Flow Decayed Access to Dwelling Units, 60 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,DU_Unconstrained_CG,"Congested Decayed Access to Dwelling Units, Unconstrained",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,DU_Max_15_Min_CG,"Congested Decayed Access to Dwelling Units, 15 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,DU_Max_30_Min_CG,"Congested Decayed Access to Dwelling Units, 30 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Base,2015,M2,FL,SERPM_TAZ,MPO,DU_Max_60_Min_CG,"Congested Decayed Access to Dwelling Units, 60 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_18_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,EMP_Unconstrained_FF,"Free Flow Decayed Access to Jobs, Unconstrained",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,EMP_Max_15_Min_FF ,"Free Flow Decayed Access to Jobs, 15 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,EMP_Max_30_Min_FF,"Free Flow Decayed Access to Jobs, 30 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,EMP_Max_60_Min_FF,"Free Flow Decayed Access to Jobs, 60 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,EMP_Unconstrained_CG,"Congested Decayed Access to Jobs, Unconstrained",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,EMP_Max_15_Min_CG,"Congested Decayed Access to Jobs, 15 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,EMP_Max_30_Min_CG,"Congested Decayed Access to Jobs, 30 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,EMP_Max_60_Min_CG     ,"Congested Decayed Access to Jobs, 60 Minute Max Travel",PROD,Done,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,DU_Unconstrained_FF,"Free Flow Decayed Access to Dwelling Units, Unconstrained",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,DU_Max_15_Min_FF,"Free Flow Decayed Access to Dwelling Units, 15 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,DU_Max_30_Min_FF,"Free Flow Decayed Access to Dwelling Units, 30 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,DU_Max_60_Min_FF,"Free Flow Decayed Access to Dwelling Units, 60 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,DU_Unconstrained_CG,"Congested Decayed Access to Dwelling Units, Unconstrained",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,DU_Max_15_Min_CG,"Congested Decayed Access to Dwelling Units, 15 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,DU_Max_30_Min_CG,"Congested Decayed Access to Dwelling Units, 30 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
SERPM,Future,2045,M2,FL,SERPM_TAZ,MPO,DU_Max_60_Min_CG,"Congested Decayed Access to Dwelling Units, 60 Minute Max Travel",PROD,Preparing,wide,csv,Accessibility folder,\Access_Scores\SERPM_FF_45_TTD_Un_15_30_60.csv
